season,week,game_id,player,pfr_player_id,position,team,opponent,receptions,targets,team_pass_attempts,team_dropbacks,target_share,targets_per_dropback,wow_target_share_change
2025,6,2025_06_NE_NO,Alvin Kamara,00-0033906,RB,NO,NE,5,5,26,32.0,0.19230769230769232,0.15625,0.004807692307692318
2025,6,2025_06_NE_NO,Kendre Miller,00-0038551,RB,NO,NE,1,1,26,32.0,0.038461538461538464,0.03125,0.007211538461538464
2025,6,2025_06_NE_NO,Foster Moreau,00-0034981,TE,NO,NE,1,1,26,32.0,0.038461538461538464,0.03125,
2025,6,2025_06_NE_NO,Juwan Johnson,00-0036040,TE,NO,NE,2,2,26,32.0,0.07692307692307693,0.0625,-0.04807692307692307
2025,6,2025_06_NE_NO,Brandin Cooks,00-0031236,WR,NO,NE,1,1,26,32.0,0.038461538461538464,0.03125,0.007211538461538464
2025,6,2025_06_NE_NO,Chris Olave,00-0037239,WR,NO,NE,6,10,26,32.0,0.38461538461538464,0.3125,0.04086538461538464
2025,6,2025_06_NE_NO,Rashid Shaheed,00-0037545,WR,NO,NE,4,6,26,32.0,0.23076923076923078,0.1875,0.07451923076923078
2025,6,2025_06_PHI_NYG,Cam Skattebo,00-0040715,RB,NYG,PHI,2,2,26,35.0,0.07692307692307693,0.05714285714285714,-0.09807692307692306
2025,6,2025_06_PHI_NYG,Theo Johnson,00-0039847,TE,NYG,PHI,2,4,26,35.0,0.15384615384615385,0.11428571428571428,-0.021153846153846134
2025,6,2025_06_PHI_NYG,Jalin Hyatt,00-0038938,WR,NYG,PHI,3,5,26,35.0,0.19230769230769232,0.14285714285714285,0.11730769230769232
2025,6,2025_06_PHI_NYG,Lil'Jordan Humphrey,00-0035406,WR,NYG,PHI,4,8,26,35.0,0.3076923076923077,0.22857142857142856,
2025,6,2025_06_PHI_NYG,Wan'Dale Robinson,00-0038117,WR,NYG,PHI,6,7,26,35.0,0.2692307692307692,0.2,0.09423076923076923
2025,6,2025_06_DEN_NYJ,Andrew Beck,00-0034959,RB,NYJ,DEN,1,1,17,38.0,0.058823529411764705,0.02631578947368421,0.015345268542199489
2025,6,2025_06_DEN_NYJ,Isaiah Davis,00-0039798,RB,NYJ,DEN,1,1,17,38.0,0.058823529411764705,0.02631578947368421,-0.028132992327365727
2025,6,2025_06_DEN_NYJ,Mason Taylor,00-0040736,TE,NYJ,DEN,1,1,17,38.0,0.058823529411764705,0.02631578947368421,-0.20204603580562658
2025,6,2025_06_DEN_NYJ,Arian Smith,00-0040582,WR,NYJ,DEN,0,1,17,38.0,0.058823529411764705,0.02631578947368421,0.0370843989769821
2025,6,2025_06_DEN_NYJ,Garrett Wilson,00-0037740,WR,NYJ,DEN,3,8,17,38.0,0.47058823529411764,0.21052631578947367,0.2531969309462916
2025,6,2025_06_DEN_NYJ,Josh Reynolds,00-0033943,WR,NYJ,DEN,3,3,17,38.0,0.17647058823529413,0.07894736842105263,0.0895140664961637
2025,6,2025_06_DEN_NYJ,Tyler Johnson,00-0036427,WR,NYJ,DEN,0,1,17,38.0,0.058823529411764705,0.02631578947368421,-0.024509803921568624
2025,6,2025_06_PHI_NYG,AJ Dillon,00-0036265,RB,PHI,NYG,2,2,33,41.0,0.06060606060606061,0.04878048780487805,
2025,6,2025_06_PHI_NYG,Saquon Barkley,00-0034844,RB,PHI,NYG,2,3,33,41.0,0.09090909090909091,0.07317073170731707,0.011961722488038284
2025,6,2025_06_PHI_NYG,Dallas Goedert,00-0034351,TE,PHI,NYG,9,11,33,41.0,0.3333333333333333,0.2682926829268293,0.09649122807017543
2025,6,2025_06_PHI_NYG,A.J. Brown,00-0035676,WR,PHI,NYG,6,9,33,41.0,0.2727272727272727,0.21951219512195122,0.062200956937799035
2025,6,2025_06_PHI_NYG,DeVonta Smith,00-0036912,WR,PHI,NYG,4,5,33,41.0,0.15151515151515152,0.12195121951219512,-0.11164274322169057
2025,6,2025_06_PHI_NYG,Jahan Dotson,00-0037741,WR,PHI,NYG,1,2,33,41.0,0.06060606060606061,0.04878048780487805,-0.01834130781499202
2025,6,2025_06_CLE_PIT,Jaylen Warren,00-0037228,RB,PIT,CLE,2,2,30,31.0,0.06666666666666667,0.06451612903225806,-0.19420289855072465
2025,6,2025_06_CLE_PIT,Kenneth Gainwell,00-0036919,RB,PIT,CLE,6,6,30,31.0,0.2,0.1935483870967742,-0.0727272727272727
2025,6,2025_06_CLE_PIT,Connor Heyward,00-0037304,TE,PIT,CLE,1,1,30,31.0,0.03333333333333333,0.03225806451612903,0.004761904761904762
2025,6,2025_06_CLE_PIT,Darnell Washington,00-0038558,TE,PIT,CLE,3,5,30,31.0,0.16666666666666666,0.16129032258064516,0.030303030303030304
2025,6,2025_06_CLE_PIT,Jonnu Smith,00-0033858,TE,PIT,CLE,3,4,30,31.0,0.13333333333333333,0.12903225806451613,-0.003030303030303022
2025,6,2025_06_CLE_PIT,Pat Freiermuth,00-0036894,TE,PIT,CLE,1,1,30,31.0,0.03333333333333333,0.03225806451612903,-0.09710144927536232
2025,6,2025_06_CLE_PIT,DK Metcalf,00-0035640,WR,PIT,CLE,4,9,30,31.0,0.3,0.2903225806451613,0.07272727272727272
2025,6,2025_06_CLE_PIT,Roman Wilson,00-0039739,WR,PIT,CLE,1,1,30,31.0,0.03333333333333333,0.03225806451612903,-0.023809523809523808
2025,6,2025_06_SEA_JAX,Kenneth Walker III,00-0038134,RB,SEA,JAX,1,1,27,30.0,0.037037037037037035,0.03333333333333333,0.0076252723311546824
2025,6,2025_06_SEA_JAX,Zach Charbonnet,00-0039165,RB,SEA,JAX,1,1,27,30.0,0.037037037037037035,0.03333333333333333,-0.02178649237472767
2025,6,2025_06_SEA_JAX,AJ Barner,00-0039793,TE,SEA,JAX,3,3,27,30.0,0.1111111111111111,0.1,-0.09477124183006536
2025,6,2025_06_SEA_JAX,Elijah Arroyo,00-0040739,TE,SEA,JAX,1,2,27,30.0,0.07407407407407407,0.06666666666666667,0.04466230936819172
2025,6,2025_06_SEA_JAX,Cooper Kupp,00-0033908,WR,SEA,JAX,2,3,27,30.0,0.1111111111111111,0.1,-0.15359477124183007
2025,6,2025_06_SEA_JAX,Jaxon Smith-Njigba,00-0038543,WR,SEA,JAX,8,13,27,30.0,0.48148148148148145,0.43333333333333335,0.21677559912854028
2025,6,2025_06_SEA_JAX,Tory Horton,00-0040648,WR,SEA,JAX,0,1,27,30.0,0.037037037037037035,0.03333333333333333,-0.08061002178649238
2025,6,2025_06_SF_TB,Kyle Juszczyk,00-0029892,FB,SF,TB,1,1,39,53.0,0.02564102564102564,0.018867924528301886,-0.05599162742019884
2025,6,2025_06_SF_TB,Brian Robinson,00-0037746,RB,SF,TB,3,3,39,53.0,0.07692307692307693,0.05660377358490566,0.05128205128205129
2025,6,2025_06_SF_TB,Christian McCaffrey,00-0033280,RB,SF,TB,7,8,39,53.0,0.20512820512820512,0.1509433962264151,0.02145473574045001
2025,6,2025_06_SF_TB,Jake Tonges,00-0037112,TE,SF,TB,6,7,39,53.0,0.1794871794871795,0.1320754716981132,-0.04500261643118786
2025,6,2025_06_SF_TB,Demarcus Robinson,00-0032775,WR,SF,TB,2,3,39,53.0,0.07692307692307693,0.05660377358490566,-0.06593406593406592
2025,6,2025_06_SF_TB,Jauan Jennings,00-0036259,WR,SF,TB,1,3,39,53.0,0.07692307692307693,0.05660377358490566,-0.02834008097165991
2025,6,2025_06_SF_TB,Kendrick Bourne,00-0033307,WR,SF,TB,5,9,39,53.0,0.23076923076923078,0.16981132075471697,0.006279434850863436
2025,6,2025_06_SF_TB,Marquez Valdes-Scantling,00-0034272,WR,SF,TB,2,3,39,53.0,0.07692307692307693,0.05660377358490566,0.01569858712715856
2025,6,2025_06_SF_TB,Rachaad White,00-0037256,RB,TB,SF,3,3,23,26.0,0.13043478260869565,0.11538461538461539,0.009222661396574433
2025,6,2025_06_SF_TB,Cade Otton,00-0038129,TE,TB,SF,5,6,23,26.0,0.2608695652173913,0.23076923076923078,0.10935441370223978
2025,6,2025_06_SF_TB,Emeka Egbuka,00-0040129,WR,TB,SF,2,4,23,26.0,0.17391304347826086,0.15384615384615385,-0.03820816864295126
2025,6,2025_06_SF_TB,Kameron Johnson,00-0039589,WR,TB,SF,4,4,23,26.0,0.17391304347826086,0.15384615384615385,
2025,6,2025_06_SF_TB,Sterling Shepard,00-0032385,WR,TB,SF,2,3,23,26.0,0.13043478260869565,0.11538461538461539,-0.02108036890645587
2025,6,2025_06_SF_TB,Tez Johnson,00-0040237,WR,TB,SF,1,3,23,26.0,0.13043478260869565,0.11538461538461539,0.009222661396574433
2025,6,2025_06_TEN_LV,Tony Pollard,00-0035261,RB,TEN,LV,2,2,38,50.0,0.05263157894736842,0.04,-0.02429149797570851
2025,6,2025_06_TEN_LV,Tyjae Spears,00-0039032,RB,TEN,LV,4,4,38,50.0,0.10526315789473684,0.08,
2025,6,2025_06_TEN_LV,Chig Okonkwo,00-0037809,TE,TEN,LV,6,6,38,50.0,0.15789473684210525,0.12,0.02968960863697706
2025,6,2025_06_TEN_LV,David Martin-Robinson,00-0039648,TE,TEN,LV,1,1,38,50.0,0.02631578947368421,0.02,
2025,6,2025_06_TEN_LV,Gunnar Helm,00-0040584,TE,TEN,LV,2,3,38,50.0,0.07894736842105263,0.06,-0.04925775978407557
