position.x,id,avg_type,pass_yds,pass_yds_sd,pass_tds,pass_tds_sd,pass_int,pass_int_sd,rush_yds,rush_yds_sd,rush_tds,rush_tds_sd,fumbles_lost,fumbles_lost_sd,rec,rec_sd,rec_yds,rec_yds_sd,rec_tds,rec_tds_sd,return_tds,return_tds_sd,dst_int,dst_int_sd,dst_fum_rec,dst_fum_rec_sd,dst_sacks,dst_sacks_sd,fg_0019,fg_0019_sd,fg_2029,fg_2029_sd,fg_3039,fg_3039_sd,fg_4049,fg_4049_sd,fg_50,fg_50_sd,xp,xp_sd,dst_safety,dst_safety_sd,dst_td,dst_td_sd,idp_solo,idp_solo_sd,idp_asst,idp_asst_sd,idp_pd,idp_pd_sd,idp_int,idp_int_sd,idp_fum_force,idp_fum_force_sd,idp_fum_rec,idp_fum_rec_sd,idp_td,idp_td_sd,first_name,last_name,team,position.y,age,exp
WR,13176,weighted,NA,NA,NA,NA,NA,NA,4.5515646258503395,5.311411456077198,0,0,0.09959183673469388,0.06987800813614221,18.37251700680272,7.5090203711160495,205.75510204081633,85.24205033668501,0.8068027210884353,0.4415060740181029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zay,Jones,ARI,WR,30,3
WR,16639,average,NA,NA,NA,NA,NA,NA,21.65714285714286,15.26965778855544,0.016666666666666666,0.03450327796711771,0.375,0.31339158526400435,55.4125,13.033411734023115,615.7625,175.1015863312331,3.9375,0.9782455140271719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xavier,Legette,CAR,WR,24,-4
WR,16639,robust,0,NA,NA,NA,NA,NA,21.728571428571428,13.04688,0.008333333333333333,0,0.375,0.0926625,57.55,8.1543,659.525,91.84707000000006,4,0.8154299999999997,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xavier,Legette,CAR,WR,24,-4
WR,16639,weighted,NA,NA,NA,NA,NA,NA,20.3395026026605,16.560346873021146,0.004554655870445345,0.008026420822922336,0.3546305668016194,0.33445515134395454,54.51356275303644,13.953323937776192,605.5222672064777,188.9332467737684,3.8475708502024295,1.0319333865456948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xavier,Legette,CAR,WR,24,-4
WR,12785,average,NA,NA,NA,NA,NA,NA,2.2,1.7481418706729726,0,0,0,0,12.8,3.743260610751007,191.68333333333334,45.54076928057613,1.5833333333333333,0.4665476038590989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demarcus,Robinson,SFO,WR,31,4
WR,12785,robust,0,NA,NA,NA,NA,NA,2.2,1.63086,0,0,0,0,13,4.37367,197,58.48856999999998,1.5,0.37065,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demarcus,Robinson,SFO,WR,31,4
WR,12785,weighted,NA,NA,NA,NA,NA,NA,2.4549659863945577,1.803057430517372,0,0,0,0,12.73904761904762,4.182972378631679,189.9863945578231,51.28259732678437,1.5229931972789115,0.5111185024897245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demarcus,Robinson,SFO,WR,31,4
WR,16635,average,NA,NA,NA,NA,NA,NA,0.8,1.1661903789690602,0,0,0.16666666666666669,0.13165611772087668,14.583333333333334,2.649087893344928,164.01666666666665,46.08342073529988,1,0.6324555320336759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luke,McCaffrey,WAS,WR,24,-4
WR,16635,robust,0,NA,NA,NA,NA,NA,0.5,0.59304,0,0,0.16666666666666669,0.049420000000000006,14,2.8169400000000002,156.55,37.065,1,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luke,McCaffrey,WAS,WR,24,-4
WR,16635,weighted,NA,NA,NA,NA,NA,NA,0.7423129251700682,1.2750237830017324,0,0,0.17886621315192747,0.14078697228226655,14.806258503401361,2.8932247365417694,169.06666666666666,49.329932366610876,1.0040816326530613,0.6987800813614221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luke,McCaffrey,WAS,WR,24,-4
