season,week,player_name,gsis_id,position,team,opponent,draft_year,draft_round,player_height,player_weight,fourty,bench,vertical,broad_jump,cone,shuttle,offense_snaps,offense_snap_share,wow_offense_snap_share_change,defense_snaps,defense_snap_share,wow_defense_snap_share_change,special_teams_snaps,special_teams_snap_share,wow_special_teams_snap_share_change,pass_attempts,pass_complete,pass_touchdowns,passing_yards,interceptions,pass_first_downs,pass_2pt_conversions,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,receptions,receiving_yards,receiving_air_yards,receiving_yac,receiving_touchdowns,receiving_first_downs,receiving_2pt_conversions,avg_air_distance,avg_cushion,avg_separation,percent_share_of_intended_air_yards,targets,target_share,catch_percentage,avg_yac,avg_expected_yac,avg_yac_above_expectation,rush_attempts,rushing_yards,rush_touchdowns,rush_first_downs,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,fantasy_points,f_position_rank
2021,1,Rodney Hudson,00-0027993,C,ARI,TEN,2011,2,74,315,5.27,27.0,25.5,95.0,8.03,4.96,69.0,1.0,,0.0,0.0,,3.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2021,1,Antonio Hamilton,00-0032933,CB,ARI,TEN,,,72,188,,,,,,,0.0,0.0,,3.0,0.05,,17.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Byron Murphy,00-0035236,CB,ARI,TEN,2019,2,71,190,4.55,14.0,36.5,120.0,,,0.0,0.0,,58.0,0.91,,6.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Marco Wilson,00-0036884,CB,ARI,TEN,2021,4,71,191,4.37,26.0,43.5,136.0,6.8,4.13,0.0,0.0,,58.0,0.91,,1.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Robert Alford,00-0030528,CB,ARI,TEN,2013,2,70,186,4.39,17.0,40.0,132.0,6.89,4.23,0.0,0.0,,49.0,0.77,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Charles Washington,00-0032560,DB,ARI,TEN,,,70,192,,,,,,,0.0,0.0,,3.0,0.05,,19.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Isaiah Simmons,00-0036356,DB,ARI,TEN,2020,1,76,238,4.39,,39.0,132.0,,,0.0,0.0,,58.0,0.91,,7.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Chandler Jones,00-0029585,DE,ARI,TEN,2012,1,77,265,4.77,22.0,35.0,120.0,7.07,4.38,0.0,0.0,,48.0,0.75,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Corey Peters,00-0027686,DE,ARI,TEN,2010,3,75,335,4.98,,33.0,98.0,7.56,4.76,0.0,0.0,,15.0,0.23,,3.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,J.J. Watt,00-0027949,DE,ARI,TEN,2011,1,77,288,4.81,34.0,37.0,120.0,6.88,4.21,1.0,0.01,,46.0,0.72,,3.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2021,1,Michael Dogbe,00-0035541,DE,ARI,TEN,2019,7,75,295,,,,,,,0.0,0.0,,13.0,0.2,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Zach Allen,00-0035248,DE,ARI,TEN,2019,3,76,285,5.0,24.0,32.0,112.0,7.34,4.36,0.0,0.0,,36.0,0.56,,3.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Leki Fotu,00-0036371,DT,ARI,TEN,2020,4,77,317,5.15,21.0,,,,,1.0,0.01,,17.0,0.27,,3.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2021,1,Rashard Lawrence,00-0036373,DT,ARI,TEN,2020,4,74,308,5.07,22.0,,,8.03,,0.0,0.0,,21.0,0.33,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Brian Winters,00-0030066,G,ARI,TEN,2013,3,76,320,5.22,9.0,,,,,13.0,0.19,,0.0,0.0,,7.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2
2021,1,Justin Pugh,00-0030585,G,ARI,TEN,2013,1,77,311,5.12,,28.5,103.0,7.45,4.63,66.0,0.96,,0.0,0.0,,7.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2
2021,1,Max Garcia,00-0032132,G,ARI,TEN,2015,4,76,309,5.24,,,,,,0.0,0.0,,0.0,0.0,,7.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Tanner Vallejo,00-0033580,ILB,ARI,TEN,2017,6,73,230,4.67,,33.5,121.0,,4.39,0.0,0.0,,6.0,0.09,,20.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Matt Prater,00-0023853,K,ARI,TEN,,,70,201,,,,,,,0.0,0.0,,0.0,0.0,,14.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Ezekiel Turner,00-0034490,LB,ARI,TEN,,,74,225,,,,,,,0.0,0.0,,0.0,0.0,,20.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Kylie Fitts,00-0034404,LB,ARI,TEN,2018,6,76,260,4.69,31.0,32.5,117.0,6.88,4.19,0.0,0.0,,10.0,0.16,,20.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Markus Golden,00-0032127,LB,ARI,TEN,2015,2,74,260,4.9,,,,,,0.0,0.0,,45.0,0.7,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Victor Dimukeje,00-0036896,LB,ARI,TEN,2021,6,74,262,4.87,28.0,34.5,115.0,7.25,4.35,0.0,0.0,,4.0,0.06,,14.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Zaven Collins,00-0036933,LB,ARI,TEN,2021,1,76,270,4.67,19.0,35.0,122.0,,4.36,0.0,0.0,,22.0,0.34,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Aaron Brewer,00-0028946,LS,ARI,TEN,,,77,232,,,,,,,0.0,0.0,,0.0,0.0,,10.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Jordan Hicks,00-0032129,MLB,ARI,TEN,2015,3,73,236,4.68,20.0,38.0,124.0,6.78,4.15,0.0,0.0,,61.0,0.95,,3.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Devon Kennard,00-0031241,OLB,ARI,TEN,2014,5,75,256,4.7,23.0,30.0,113.0,7.25,4.32,0.0,0.0,,13.0,0.2,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,D.J. Humphries,00-0032222,OT,ARI,TEN,2015,1,77,307,5.12,26.0,31.0,104.0,7.87,4.64,69.0,1.0,,0.0,0.0,,7.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2021,1,Josh Jones,00-0036363,OT,ARI,TEN,2020,3,79,339,5.27,24.0,28.5,109.0,,,56.0,0.81,,0.0,0.0,,7.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2021,1,Justin Murray,00-0032528,OT,ARI,TEN,,,77,315,,,,,,,32.0,0.46,,0.0,0.0,,7.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2021,1,Kelvin Beachum,00-0029316,OT,ARI,TEN,2012,7,75,308,5.38,19.0,28.5,101.0,7.79,4.8,41.0,0.59,,0.0,0.0,,4.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2021,1,Andy Lee,00-0022824,P,ARI,TEN,2004,6,73,185,5.0,,,,,,0.0,0.0,,0.0,0.0,,10.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Kyler Murray,00-0035228,QB,ARI,TEN,2019,1,70,207,,,,,,,69.0,1.0,,0.0,0.0,,0.0,0.0,,34.0,21.0,4.0,280.0,1.0,13.0,0,2.99928125,6.825238095238094,8.7990625,-1.9738244047619053,15.625,45.87353158412813,-0.13843750000000088,65.625,62.06458832602948,3.5604116739705205,,,,,,,,,,,,,,,,,,5.0,20.0,1.0,2.0,,,,,,,,,33.2,1
2021,1,Chase Edmonds,00-0034681,RB,ARI,TEN,2018,4,69,201,4.55,19.0,34.0,122.0,6.79,4.07,40.0,0.58,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,4.0,43.0,-12.0,55.0,0.0,1.0,0,,,,,4.0,0.125,,,,,12.0,63.0,0.0,3.0,3.5163492063492066,16.666666666666664,3.0080000000000005,60.634860296536544,2.3651397034634556,5.25,0.1970949752886213,0.4166666666666667,12.600000000000001,20
2021,1,James Conner,00-0033553,RB,ARI,TEN,2017,3,73,233,4.65,20.0,29.0,113.0,,,34.0,0.49,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,53.0,0.0,2.0,4.7798113207547175,37.5,2.9876875000000003,61.668666284326406,-8.668666284326406,3.3125,-0.5417916427704004,0.375,5.300000000000001,43
2021,1,Jonathan Ward,00-0035924,RB,ARI,TEN,,,72,202,,,,,,,0.0,0.0,,0.0,0.0,,17.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Budda Baker,00-0033890,S,ARI,TEN,2017,2,70,195,4.45,15.0,32.5,115.0,6.76,4.08,0.0,0.0,,61.0,0.95,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2021,1,Deionte Thompson,00-0035532,SAF,ARI,TEN,2019,5,73,195,,,,,,,0.0,0.0,,3.0,0.05,,17.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
