season,week,player_name,gsis_id,position,team,opponent,draft_year,draft_round,player_height,player_weight,fourty,bench,vertical,broad_jump,cone,shuttle,offense_snaps,offense_snap_share,wow_offense_snap_share_change,defense_snaps,defense_snap_share,wow_defense_snap_share_change,special_teams_snaps,special_teams_snap_share,wow_special_teams_snap_share_change,pass_attempts,pass_complete,pass_touchdowns,passing_yards,interceptions,pass_first_downs,pass_2pt_conversions,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,receptions,receiving_yards,receiving_air_yards,receiving_yac,receiving_touchdowns,receiving_first_downs,receiving_2pt_conversions,avg_air_distance,avg_cushion,avg_separation,percent_share_of_intended_air_yards,targets,target_share,catch_percentage,avg_yac,avg_expected_yac,avg_yac_above_expectation,rush_attempts,rushing_yards,rush_touchdowns,rush_first_downs,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,fantasy_points,f_position_rank
2020,1,Lamont Gaillard,00-0035536,C,ARI,SF,2019,6,75,326,,,,,,,46.0,0.56,,0.0,0.0,,6.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2020,1,Mason Cole,00-0034785,C,ARI,SF,2018,3,77,298,5.23,23.0,23.5,104.0,7.77,4.78,36.0,0.44,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2020,1,Byron Murphy,00-0035236,CB,ARI,SF,2019,2,71,190,4.55,14.0,36.5,120.0,,,0.0,0.0,,60.0,0.97,,5.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020,1,Dre Kirkpatrick,00-0029560,CB,ARI,SF,2012,1,74,190,4.5,,35.0,120.0,,,0.0,0.0,,20.0,0.32,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020,1,Kevin Peterson,00-0032848,CB,ARI,SF,,,71,185,4.58,14.0,35.5,121.0,6.94,4.31,0.0,0.0,,0.0,0.0,,12.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020,1,Patrick Peterson,00-0027943,CB,ARI,SF,2011,1,73,203,4.31,15.0,38.0,126.0,6.58,4.07,0.0,0.0,,61.0,0.98,,5.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020,1,Charles Washington,00-0032560,DB,ARI,SF,,,70,192,,,,,,,0.0,0.0,,2.0,0.03,,16.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020,1,Chris Banjo,00-0029747,DB,ARI,SF,,,70,207,,,,,,,0.0,0.0,,58.0,0.94,,15.0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020,1,Isaiah Simmons,00-0036356,DB,ARI,SF,2020,1,76,238,4.39,,39.0,132.0,,,0.0,0.0,,18.0,0.29,,4.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2020,1,Angelo Blackson,00-0032107,DE,ARI,SF,2015,4,76,318,5.02,20.0,31.0,101.0,7.5,4.57,0.0,0.0,,23.0,0.37,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
