season,week,player_name,gsis_id,position,team,opponent,draft_year,draft_round,player_height,player_weight,fourty,bench,vertical,broad_jump,cone,shuttle,offense_snaps,offense_snap_share,wow_offense_snap_share_change,defense_snaps,defense_snap_share,wow_defense_snap_share_change,special_teams_snaps,special_teams_snap_share,wow_special_teams_snap_share_change,pass_attempts,pass_complete,pass_touchdowns,passing_yards,interceptions,pass_first_downs,pass_2pt_conversions,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,receptions,receiving_yards,receiving_air_yards,receiving_yac,receiving_touchdowns,receiving_first_downs,receiving_2pt_conversions,avg_air_distance,avg_cushion,avg_separation,percent_share_of_intended_air_yards,targets,target_share,catch_percentage,avg_yac,avg_expected_yac,avg_yac_above_expectation,rush_attempts,rushing_yards,rush_touchdowns,rush_first_downs,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,fantasy_points,f_position_rank
2019,1,A.Q. Shipley,00-0026950,C,ARI,DET,2009,7,73,307,5.19,33.0,31.0,100.0,7.46,4.4,88.0,1.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2019,1,Mason Cole,00-0034785,C,ARI,DET,2018,3,77,298,5.23,23.0,23.5,104.0,7.77,4.78,2.0,0.02,,0.0,0.0,,5.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2019,1,Byron Murphy,00-0035236,CB,ARI,DET,2019,2,71,190,4.55,14.0,36.5,120.0,,,0.0,0.0,,84.0,1.0,,1.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2019,1,Kevin Peterson,00-0032848,CB,ARI,DET,,,71,185,4.58,14.0,35.5,121.0,6.94,4.31,0.0,0.0,,0.0,0.0,,7.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2019,1,Charles Washington,00-0032560,DB,ARI,DET,,,70,192,,,,,,,0.0,0.0,,0.0,0.0,,29.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2019,1,Chris Jones,00-0034641,DB,ARI,DET,,,72,200,4.57,14.0,,,,,0.0,0.0,,55.0,0.65,,20.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2019,1,Tramaine Brock,00-0027375,DB,ARI,DET,,,72,188,,,,,,,0.0,0.0,,69.0,0.82,,5.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2019,1,Chandler Jones,00-0029585,DE,ARI,DET,2012,1,77,265,4.77,22.0,35.0,120.0,7.07,4.38,0.0,0.0,,81.0,0.96,,1.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2019,1,Corey Peters,00-0027686,DE,ARI,DET,2010,3,75,335,4.98,,33.0,98.0,7.56,4.76,0.0,0.0,,50.0,0.6,,11.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2019,1,Jonathan Bullard,00-0033093,DE,ARI,DET,2016,3,75,290,4.93,23.0,32.0,116.0,7.31,4.56,0.0,0.0,,15.0,0.18,,4.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2019,1,Rodney Gunter,00-0032131,DE,ARI,DET,2015,4,77,305,,,,,,,0.0,0.0,,59.0,0.7,,1.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2019,1,Zach Allen,00-0035248,DE,ARI,DET,2019,3,76,285,5.0,24.0,32.0,112.0,7.34,4.36,0.0,0.0,,62.0,0.74,,11.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
