season,week,player_name,gsis_id,position,team,opponent,draft_year,draft_round,player_height,player_weight,fourty,bench,vertical,broad_jump,cone,shuttle,offense_snaps,offense_snap_share,wow_offense_snap_share_change,defense_snaps,defense_snap_share,wow_defense_snap_share_change,special_teams_snaps,special_teams_snap_share,wow_special_teams_snap_share_change,pass_attempts,pass_complete,pass_touchdowns,passing_yards,interceptions,pass_first_downs,pass_2pt_conversions,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,receptions,receiving_yards,receiving_air_yards,receiving_yac,receiving_touchdowns,receiving_first_downs,receiving_2pt_conversions,avg_air_distance,avg_cushion,avg_separation,percent_share_of_intended_air_yards,targets,target_share,catch_percentage,avg_yac,avg_expected_yac,avg_yac_above_expectation,rush_attempts,rushing_yards,rush_touchdowns,rush_first_downs,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,fantasy_points,f_position_rank
2013,1,Lyle Sendlein,00-0025682,C,ARI,STL,,,75,308,,,,,,,71.0,1.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2013,1,Antoine Cason,00-0026167,CB,ARI,STL,2008,1,73,195,4.45,20.0,35.5,128.0,,4.08,0.0,0.0,,5.0,0.07,,7.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Javier Arenas,00-0027660,CB,ARI,STL,2010,2,69,197,4.6,,,112.0,,,0.0,0.0,,0.0,0.0,,12.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Justin Bethel,00-0029530,CB,ARI,STL,2012,6,72,195,4.52,19.0,39.5,131.0,6.79,4.3,0.0,0.0,,0.0,0.0,,18.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Patrick Peterson,00-0027943,CB,ARI,STL,2011,1,73,203,4.31,15.0,38.0,126.0,6.58,4.07,3.0,0.04,,66.0,0.99,,8.0,0.28,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,1.0,0.025,,,,,,,,,,,,,,,,,0.0,1
2013,1,Jerraud Powers,00-0027064,DB,ARI,STL,2009,3,70,193,4.43,15.0,36.5,122.0,7.09,4.08,0.0,0.0,,64.0,0.96,,7.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Calais Campbell,00-0026190,DE,ARI,STL,2008,2,80,315,5.04,16.0,29.5,111.0,7.45,4.69,0.0,0.0,,60.0,0.9,,11.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Darnell Dockett,00-0022930,DE,ARI,STL,2004,3,76,290,5.0,26.0,31.0,105.0,,,0.0,0.0,,54.0,0.81,,7.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Frostee Rucker,00-0024306,DE,ARI,STL,2006,3,75,261,4.88,,29.5,110.0,,,0.0,0.0,,19.0,0.28,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Ronald Talley,00-0026791,DE,ARI,STL,,,75,286,,,,,,,0.0,0.0,,17.0,0.25,,7.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Dan Williams,00-0027877,DT,ARI,STL,2010,1,74,330,5.19,27.0,32.0,96.0,7.88,4.87,0.0,0.0,,32.0,0.48,,5.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Rashad Johnson,00-0027067,FS,ARI,STL,2009,3,71,204,4.49,15.0,37.0,120.0,7.09,4.23,0.0,0.0,,67.0,1.0,,12.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Tyrann Mathieu,00-0030459,FS,ARI,STL,2013,3,69,190,4.5,4.0,34.0,117.0,6.87,4.14,0.0,0.0,,39.0,0.58,,10.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Daryn Colledge,00-0024262,G,ARI,STL,2006,2,76,308,5.05,21.0,32.5,110.0,7.43,4.58,71.0,1.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2013,1,Paul Fanaika,00-0026943,G,ARI,STL,2009,7,77,327,5.48,15.0,,,,,71.0,1.0,,0.0,0.0,,5.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1
2013,1,Karlos Dansby,00-0022927,ILB,ARI,STL,2004,2,76,250,4.58,,,,,,0.0,0.0,,67.0,1.0,,6.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Kevin Minter,00-0030382,ILB,ARI,STL,2013,2,72,246,4.81,25.0,33.0,119.0,,,0.0,0.0,,0.0,0.0,,17.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Jay Feely,00-0019770,K,ARI,STL,,,70,208,,,,,,,0.0,0.0,,0.0,0.0,,10.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Sam Acho,00-0028041,LB,ARI,STL,2011,4,75,259,4.67,23.0,33.5,112.0,6.69,4.32,0.0,0.0,,37.0,0.55,,21.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Mike Leach,00-0019435,LS,ARI,STL,,,74,235,,,,,,,0.0,0.0,,0.0,0.0,,9.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Jasper Brinkley,00-0027108,MLB,ARI,STL,2009,5,73,252,4.67,26.0,35.5,114.0,7.03,4.32,0.0,0.0,,60.0,0.9,,10.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,John Abraham,00-0019546,OLB,ARI,STL,2000,1,76,263,4.55,,,,,,0.0,0.0,,20.0,0.3,,2.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Lorenzo Alexander,00-0023259,OLB,ARI,STL,,,73,245,5.12,28.0,29.5,106.0,7.53,4.55,0.0,0.0,,38.0,0.57,,23.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
2013,1,Matt Shaughnessy,00-0027045,OLB,ARI,STL,2009,3,77,285,4.86,24.0,30.5,112.0,7.68,4.88,0.0,0.0,,25.0,0.37,,13.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
